Notes,State,State Code,Year,Year Code,Gender,Gender Code,Deaths,Population,Crude Rate
Total,Connecticut,9,2019,2019,,,1143,3565287,32.1
,Connecticut,9,2020,2020,Female,F,319,1822086,17.5
,Connecticut,9,2020,2020,Male,M,975,1734920,56.2
Total,Connecticut,9,2020,2020,,,1294,3557006,36.4
Total,Connecticut,9,,,,,7095,28643237,24.8
,Delaware,10,2013,2013,Female,F,41,477802,8.6
,Delaware,10,2013,2013,Male,M,81,447947,18.1
Total,Delaware,10,2013,2013,,,122,925749,13.2
,Delaware,10,2014,2014,Female,F,43,482925,8.9
,Delaware,10,2014,2014,Male,M,89,452689,19.7
Total,Delaware,10,2014,2014,,,132,935614,14.1
,Delaware,10,2015,2015,Female,F,48,488125,9.8
,Delaware,10,2015,2015,Male,M,91,457809,19.9
Total,Delaware,10,2015,2015,,,139,945934,14.7
,Delaware,10,2016,2016,Female,F,53,491395,10.8
,Delaware,10,2016,2016,Male,M,114,460670,24.7
Total,Delaware,10,2016,2016,,,167,952065,17.5
,Delaware,10,2017,2017,Female,F,81,496425,16.3
,Delaware,10,2017,2017,Male,M,191,465514,41
Total,Delaware,10,2017,2017,,,272,961939,28.3
,Delaware,10,2018,2018,Female,F,110,499244,22
,Delaware,10,2018,2018,Male,M,264,467927,56.4
Total,Delaware,10,2018,2018,,,374,967171,38.7
,Delaware,10,2019,2019,Female,F,115,502971,22.9
,Delaware,10,2019,2019,Male,M,295,470793,62.7
Total,Delaware,10,2019,2019,,,410,973764,42.1
,Delaware,10,2020,2020,Female,F,140,510069,27.4
,Delaware,10,2020,2020,Male,M,290,476740,60.8
Total,Delaware,10,2020,2020,,,430,986809,43.6
Total,Delaware,10,,,,,2046,7649045,26.7
,District of Columbia,11,2013,2013,Female,F,24,340199,7.1
,District of Columbia,11,2013,2013,Male,M,56,306250,18.3
Total,District of Columbia,11,2013,2013,,,80,646449,12.4
,District of Columbia,11,2014,2014,Female,F,26,346293,7.5
,District of Columbia,11,2014,2014,Male,M,54,312600,17.3
Total,District of Columbia,11,2014,2014,,,80,658893,12.1
,District of Columbia,11,2015,2015,Female,F,32,353627,9
,District of Columbia,11,2015,2015,Male,M,87,318601,27.3
Total,District of Columbia,11,2015,2015,,,119,672228,17.7
,District of Columbia,11,2016,2016,Female,F,58,357940,16.2
,District of Columbia,11,2016,2016,Male,M,186,323230,57.5
Total,District of Columbia,11,2016,2016,,,244,681170,35.8
